Message_ID,Original_Message,Transmitted_Message,Error_Correction_Applied,Corrected_Message,Encryption_Type,Encrypted_Message,Decrypted_Message,Authentication_Status,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),Target
803,Delays Delays Station Departing Delays,Delays Delays Station Departing Delays,0,Delays Delays Station Departing Delays,RSA,gAAAAABnlGiLaf_8VDYEZbxtVc4OSqvFGAj0T52uo0JEOmdosfxm4ocVVMT78V8Y6lp5oa7_KrkTVpppqUcO_rJHD_J9LMC2cXrRwAgM0C7OhHFln9hcJqLFLrBadhssppLkM6qA02HB,Delays Delays Station Departing Delays,Success,6.61,0.63,58.26,99.37,Secure
804,On-Time Train Delays Station Station Maintenance Delays,On-Time Train Delays Station Station Maintenance Delays,0,On-Time Train Delays Station Station Maintenance Delays,HybridRSA-Blowfish,gAAAAABnlGiLcE8t020QtS4iXSp0XqEpleresTNV-xhpqFaxMEjiihLPjr9fozkmCXMJf4ZOwKfcHx9Yi-TL4taIC1psGL3gAbjJbheSTPjhufrKV8zVvGR5pdBKQPVLm4d2WeErqw8OUo-38ZeCeoqLKbo9TCr4hA==,On-Time Train Delays Station Station Maintenance Delays,Success,9.61,1.67,55.47,98.33,Secure
805,Station Station Departing Train Train Departing,Station Station Departing Train Train Departing,0,Station Station Departing Train Train Departing,Blowfish,gAAAAABnlGiL42GCISf_VD2-_WuqsExbxg0Tv-nD-g7or3XSjS6jWGB2HyzKCADKflQkNc8jgdbRiyXuHwAXRlQP4HyIWejrkY1eEgEF1aqYsIv7iX_jFZ5_b38oDfPULaswbI9jYvKS,Station Station Departing Train Train Departing,Success,12.72,1.12,50.13,98.88,Secure
806,On-Time On-Time Station Train,On-Time On-Time Station Train,0,On-Time On-Time Station Train,Blowfish,gAAAAABnlGiLuAdnYNSuL0ezDtLIURB8g95tXHCKcYs9GZtvNFqaQQfuNSzd-3kdp600MsrYqXkmBKh7uxXQEI1TG5XKi1tzYqGjN7ZvT2tYoBD53uIza0I=,On-Time On-Time Station Train,Success,7.13,1.75,56.86,98.25,Secure
807,Arriving Arriving Arriving Station On-Time,Arriving Arriving Arriving Station On-Time,0,Arriving Arriving Arriving Station On-Time,RSA,gAAAAABnlGiLwBdbp695zwoKkYEzDF2idzeAgw1SpgEVWYzIZGJ65_E44nJO4cJVB0aszNWmOvONkhqlUOxJnlrXHaiP38qMs80UnyAbvAxjoWVJ3Y30rFxybsmS3D_hTDPZFflqua8D,Arriving Arriving Arriving Station On-Time,Success,6.56,0.64,51.85,99.36,Secure
808,Maintenance Station Station Station Maintenance Station,Maintenance Station Station Station Maintenance Station,0,Maintenance Station Station Station Maintenance Station,RSA,gAAAAABnlGiLiRskKryAWBcWhsJSxpqkrvM1cX3Un4FU7S2D393AzuHAl8wNrviq4ggUkbHH4laj5RReGVBDcQ-nD2V_TPogHQhIJ_eyaSwUEd4TcVZPjJdo2HDrkpIEU1j2cCtZnK9rvz0hKdu8c00fUy8-clG11w==,Maintenance Station Station Station Maintenance Station,Failure,11.35,0.26,59.84,99.74,Not Secure
809,Station Departing Departing Maintenance Station Arriving,Station Departing Departing Maintenance Station Arriving,0,Station Departing Departing Maintenance Station Arriving,Blowfish,gAAAAABnlGiLM9yPxVpt9tudaDDuyRxweApiKzkdRSO-bWNccQdS5mpnCXyqe0y1hMou1axgZbgfmtvY-YFJgKIjUxbgZbgG8JFxke89l36yI54pzIFc3W_t1VByA01yDkNnKFBxMirCpB8PpdPW_VZ3CPevIwpBoA==,Station Departing Departing Maintenance Station Arriving,Success,11.47,0.49,54.54,99.51,Secure
810,Train Delays Train Maintenance Maintenance Delays,Train Delays Train Maintenance Maintenance Delays,0,Train Delays Train Maintenance Maintenance Delays,Blowfish,gAAAAABnlGiLzhZAqEtXu0M5Jfr7g7_9jSiW-YtIpBjLqpvBcyLSj28w9C_9cMOYdpRoAR4jVGB787BmejPiMFog55pfJuKNqArTO0Jb6JfaVTuJ5xDqekT9KSrL2LC0SEOWEkoqPFdtz8VsDgHOSmaQXsJZeFuNEw==,Train Delays Train Maintenance Maintenance Delays,Success,5.71,0.04,50.59,99.96,Secure
811,Arriving Maintenance Maintenance Arriving On-Time On-Time Departing,Arriving Maintenance Maintenance Arriving On-Time On-Time Departing,0,Arriving Maintenance Maintenance Arriving On-Time On-Time Departing,HybridRSA-Blowfish,gAAAAABnlGiL5KX_NROOl3bPzQTUVvNemxV4YPm1XAZvHrTkCqkR5sTzQ0eF1sWqTIzscb5jPs24Xlvy8HKGly1EmdyxMK4ZiANpIuXrUvhnChlcfFLwiOk6KN-_jZf3SuFKe8nuVS3hi_IS1zFwP0DGI2h9r1jY05NSh01bkNorWCd4fZVKY0c=,Arriving Maintenance Maintenance Arriving On-Time On-Time Departing,Failure,14.93,0.16,57.86,99.84,Not Secure
812,Station Departing Maintenance Station Station On-Time Delays,Station Departing Maintenance Station Station On-Time Delays,0,Station Departing Maintenance Station Station On-Time Delays,HybridRSA-Blowfish,gAAAAABnlGiLxiT7TGAynEhq-rZljz2I3-hRRZJfPwA-qk0Sbb4f7FxFbURFGYgydc2nQYGQqvaa22AorqoxuAuaGa3HV7jJ4MEWZikHcYcIqICJwqVn69RRU-4m7FpCd9fS-wb53RaPsLOUObR4qeTryS65y8-XCA==,Station Departing Maintenance Station Station On-Time Delays,Failure,5.68,1.21,58.6,98.79,Not Secure
813,Delays Delays Arriving Departing Maintenance On-Time,Delays Delays Arriving Departing Maintenance On-Time,0,Delays Delays Arriving Departing Maintenance On-Time,RSA,gAAAAABnlGiLPtvKhJCJWxqn9mEDv7PuiODbTBlltFSCsifb71H5GR9S3opPjZkuS9Qob6BUUg-_VUwj3P-m-V8gldk0MEdy5gIaBy0j9RRuxJkcec62g6zo94iASBcszUbRkR1vvoOjk838r0At6hhxIY_x0qs3dw==,Delays Delays Arriving Departing Maintenance On-Time,Failure,14.54,1.58,50.07,98.42,Not Secure
814,Departing Train Train Train Train Train,Departing Train Train Train Train Train,0,Departing Train Train Train Train Train,Blowfish,gAAAAABnlGiLQ2U4xR6zVRYBg_41J2A9ggK-VLN9wHEiqoMEHgZVyq-lpeBLQqXIK7U12Iehzt6Qi4r5rhmg1k9gvKb-tdpJSSi-gJP6Elk9Z3rr8CABB5sZpeFb7Nr7ntVv4nG5sTsE,Departing Train Train Train Train Train,Failure,8.41,0.8,59.51,99.2,Not Secure
815,On-Time Arriving Maintenance Maintenance Train,On-Time Arriving Maintenance Maintenance Train,0,On-Time Arriving Maintenance Maintenance Train,RSA,gAAAAABnlGiLxzST9duEEUiPz4EuyR9LwfyY8rO6bPYtMtXuo07EDjJw4DIFkPmA0pjsuzSq5dOCAOm8PDGPmPJR-OlK0lTJhbfwaieU5WT0j6rBatfEIGvi7ZDolQ13oxaJcaiYiXSL,On-Time Arriving Maintenance Maintenance Train,Failure,8.56,0.08,56.39,99.92,Not Secure
816,Station Station Delays Delays Maintenance Arriving On-Time,Station Station Delays Delays Maintenance Arriving On-Time,0,Station Station Delays Delays Maintenance Arriving On-Time,Blowfish,gAAAAABnlGiLq4uozxyM4hyyhcrberu9Aoz91TRpz82fULXXYet0m2JY-LmCEI4APkGRM5-RTxhRB_gYEmk3WCYJX8Yb5QOQ3mRKLSfn5mK6QuvaKvT9fi5J4j-jiZCMuAlnSq5nUhN7fVdpOBxSUuOnwmCFsN_cwg==,Station Station Delays Delays Maintenance Arriving On-Time,Success,9.9,0.16,56.2,99.84,Secure
817,Departing Maintenance On-Time Train,Departing Maintenance On-Time Train,0,Departing Maintenance On-Time Train,Blowfish,gAAAAABnlGiLqKwaslSbpFKPLtsdHhfs1vKw9NDO1urxxG4qhDl6SRe40FbXK_Y-N1OP1qUwDzkjkHCtqsR6zE4gI_aQTi_RDfPN-QAB_5OF_vSDdQeW6aRCQgdXzfSGFCLoFLFRlyoH,Departing Maintenance On-Time Train,Success,14.7,1.99,54.96,98.01,Secure
818,Station On-Time Train On-Time Arriving,Station On-Time Train On-Time Arriving,0,Station On-Time Train On-Time Arriving,Blowfish,gAAAAABnlGiLWPPy0A27Ok2wliyVw2uEBpaaskYU8ggFYvdJDyjU7HTdap3WtKG7vSLPB69iJpNPNRBFS3FPhvkdNyq4XTiYpUfKiKk3U_7JFWSCmHMiZhkD0rG-6ilPVjfjAyemobkI,Station On-Time Train On-Time Arriving,Success,13.32,1.48,55.79,98.52,Secure
819,Station Arriving Maintenance Delays Maintenance Train,Station Arriving Maintenance Delays Maintenance Train,0,Station Arriving Maintenance Delays Maintenance Train,HybridRSA-Blowfish,gAAAAABnlGiLEwgnrBSl94tFrUciK0bHDTGIGsv8-vQ2bos0c8rFtEFcvb8zFZoXO6zZM27UwlTUamvicKEZOQ39xK7f11nhVJOHj__1RKwz3SYXUAmmb-g2iEW5zoK8f62nlIdDmAyVhhwwQlkxJcVgdE2yrJrycg==,Station Arriving Maintenance Delays Maintenance Train,Success,8.07,1.72,59.95,98.28,Secure
820,Maintenance Maintenance Maintenance Train Delays On-Time,Maintekance Maintenance Maintenance Train Delays On-Time,1,Maintenance Maintenance Maintenance Train Delays On-Time,HybridRSA-Blowfish,gAAAAABnlGiLNsTb0voLpZrzknfJAEc1ZzJDmwwAL23H8IRYVQ9U-jw7bCd38HObpV20TWEWIOEcWMsia2gdz3CdRV_QGFTn65MdudjRKzmd_y40Lb6igQJRpYMa3IBFaIta18f1cZrJcsNoWSOHCB97rVpExhtilw==,Maintenance Maintenance Maintenance Train Delays On-Time,Failure,6.3,1.09,59.64,98.91,Not Secure
821,Maintenance Arriving Departing Maintenance Departing,Maintenance Arriving Departing Maintenance Departing,0,Maintenance Arriving Departing Maintenance Departing,Blowfish,gAAAAABnlGiLxB380MsbHpx6kY0LAqJw56jngFqiNVrfejoXqzlUhzzNnfmZ6y2lMju3bqA4royKIrNxxuxkyuw8t5xlPIktV_Kin4AXX9D_5pp1W96kFmZRIfNj0p-H9ZpsMBRVHQ2-7jFBZSsM3yFliNGaewEdjw==,Maintenance Arriving Departing Maintenance Departing,Failure,7.64,1.12,50.68,98.88,Not Secure
822,Departing Maintenance On-Time Delays Delays Delays Delays,DeAarting Maintenance On-Time Delays Delays Delays Delays,1,Departing Maintenance On-Time Delays Delays Delays Delays,Blowfish,gAAAAABnlGiLmSxnmi3EW-NMAuCAfxNqA4NKcKv6Y5nRIrP7SQu1_AXjXnUxsQX505y9ix0P3A7JvLLZuAp9mHEXiicYJuHVxen1Mmy1OabWtwbdGMAyX8d2ILlOVMGyySY6OjCrpGWwH-rb7Mn3BOpuyIy6SQtwkA==,Departing Maintenance On-Time Delays Delays Delays Delays,Success,10.73,1.42,56.24,98.58,Secure
823,Train Arriving Departing Arriving Maintenance On-Time,Train Arriving Departing Arriving Maintenance On-Time,0,Train Arriving Departing Arriving Maintenance On-Time,RSA,gAAAAABnlGiL88KtK0gyDmSE7bHbwJByR4O3bKNFCo23zw1pTlMHqhgtQ80YIIbqKk_m8LC-oPFTlxQ6gXtWerLuRHtytg4bEeSh1TAkwRNHYy64bPYkEggJ5MIOW3TmBEjEiapNX8ULD-oS3Odqgkm98IXvt0COzg==,Train Arriving Departing Arriving Maintenance On-Time,Failure,13.65,1.2,55.61,98.8,Not Secure
824,Delays Departing On-Time Maintenance Delays Arriving,Delays Departing On-Time Maintenance Delays Arriving,0,Delays Departing On-Time Maintenance Delays Arriving,RSA,gAAAAABnlGiLjarYIXfGYZQWq4VxQF6kGxJlco7YAKQHFzbG33dq0MTx-y5sjWOOS4ffgDWkGliccDfli80ygz-Ry96qbY97iI-Ka75DZCYUZHjPRtgB3dee4u11IGBQhTGqxOh4E-HloE84SrxerYkLrO5kjvWb3Q==,Delays Departing On-Time Maintenance Delays Arriving,Success,10.49,0.57,51.88,99.43,Secure
825,On-Time Departing Train Maintenance,On-Time Departing Train Maintenance,0,On-Time Departing Train Maintenance,RSA,gAAAAABnlGiLBOWXtzCAjBc_k2ASYFYlAcoz6RTCMX8Iew8nXOWHzcSPNFj1aX_7ihUA4E86P__JjUi5vkxawkFvc74rSXNXpZ8OkwiCdqKLFQFLP8IHQ8L5NIpj0W11OhwVltqT5FgQ,On-Time Departing Train Maintenance,Success,10.98,0.58,57.93,99.42,Secure
826,Maintenance Departing Maintenance Arriving Departing Delays,Maintenance Departing Maintenance Arriving Departing Delays,0,Maintenance Departing Maintenance Arriving Departing Delays,Blowfish,gAAAAABnlGiLCzj6SKxTqhi9O10WNlyCXlby2hnUj1d14TbOXqScM1bBfbdDSM8-Ej-j5kN6uCCF9wTJ6xHsw04hFfF5T4kd83Afx0bK18I6DwjEVDpgYTsPSkMkXmGg0DVpetkvvjN7XnBzpyyR4bXWK-9mDQ8ZCA==,Maintenance Departing Maintenance Arriving Departing Delays,Success,11.1,0.29,56.1,99.71,Secure
827,On-Time Train Station On-Time On-Time,On-Time Train Station On-Time On-Time,0,On-Time Train Station On-Time On-Time,HybridRSA-Blowfish,gAAAAABnlGiLNYeNMeqVrqWypDoHVPWwRwoHCbKTmKVGJ3iXjjdnx7vGHlV8Xc5cGlH_MhkWnck8XxK0XIFyOR5ogE9GuOID4e-SVAhUCPRFWVW-GZoRn8hqjuluEUPi0ULKMa2V4MKm,On-Time Train Station On-Time On-Time,Failure,10.63,0.28,58.92,99.72,Not Secure
828,Departing Train Station Maintenance Maintenance Train,Departing Train Station Maintenance Maintenance Train,0,Departing Train Station Maintenance Maintenance Train,HybridRSA-Blowfish,gAAAAABnlGiLFmuAx1rpNMDWQaXyl2GaSfI8OvWGNh2ferJG7mV-Ee0aD4eqqtB1u-NjHdzUqe4ndik517EjtzufXDYrzrHz7jJlxRXeXHqre7D0b2O0KtG3SbSIZM0JD_lyvldjukddAIeQmS1F4Wkf46kL9SPKlQ==,Departing Train Station Maintenance Maintenance Train,Success,8.69,1.84,56.86,98.16,Secure
829,Arriving Station Delays On-Time,Arriving Suation Delays On-Time,1,Arriving Station Delays On-Time,RSA,gAAAAABnlGiLOi1pT-jk0CZ4Ds9QZ-ep5rqGMgIoKB5ecLcwjBlyJsMbDV6jXZMNyw7QyJnJ_4PZ5xaafhyiNJI3JyKRvjRFGVrEpzshSnQ9XEjg0qi0CK4=,Arriving Station Delays On-Time,Success,6.75,1.6,55.22,98.4,Secure
830,Station Train Delays Arriving Station Station Departing,Station Train Delays Arriving Station Station Departing,0,Station Train Delays Arriving Station Station Departing,RSA,gAAAAABnlGiLVCQPNYGv5Lzx2oEGZ8pq0GkaI9S6h6svyxj18fBUhYzdZ_66uf8xc4-MgBPPZdgPmXmVUT17IgmCMdogGX6dlwVNOGw8fp_JHZA00QDLL6FuXGzMIR1MldgjQjnvUPNGrBS5UVZAvZ5Cd_o-t0W5aA==,Station Train Delays Arriving Station Station Departing,Success,14.88,1.42,51.76,98.58,Secure
831,Maintenance Arriving Arriving On-Time Arriving Arriving On-Time,Maintenance Arriving Arriving On-Time Arriving Arriving On-Time,0,Maintenance Arriving Arriving On-Time Arriving Arriving On-Time,HybridRSA-Blowfish,gAAAAABnlGiLPDenP_NiWQSDXAKf81h_gRByl8BK0rLOXOIYVtsr7g-8U_xfl0HXwDu9p9ElmCiwMdH2guecSgkTqS-YZJYL5RiO8AMrz-PRzJm445Nw_bFRPfeGHxMVeXQbbpj_JjrY_qH4uojl9ZA2M_hXGiygmw==,Maintenance Arriving Arriving On-Time Arriving Arriving On-Time,Failure,9.07,0.87,53.52,99.13,Not Secure
832,Delays Delays Maintenance Arriving Maintenance,Delays Delays Maintenance Arriving Maintenance,0,Delays Delays Maintenance Arriving Maintenance,Blowfish,gAAAAABnlGiL2pNdfrFyGGFMEXKP0XTx-whdjIydR4LmvyRA0OV-QxXvBHZWn9z6-ZZABbI3jJ6QgMddiWiW4-BoeVOue_GLIr3-raSD3JihEOOsKE6_V1HyyQJvmgrgTauaBmaLMHyD,Delays Delays Maintenance Arriving Maintenance,Failure,8.38,1.69,56.93,98.31,Not Secure
833,Maintenance Station Train Maintenance Maintenance Departing Station,Maintenance Station Train Maintenance Maintenance Departing Station,0,Maintenance Station Train Maintenance Maintenance Departing Station,RSA,gAAAAABnlGiLwaDGdeuBLvseAVLOGnzBVM6WbZ7H8vsuw3zRH9XkrHjxGhwHcHLL20-80UschpxH65wNGS_86NfiTY5pRwFamzWAb3IxyWeHWR3S2rplDO0BB6r8Xymc-DNvsN_XD-qpz_G2ZNXALQZthf2d3vuHewWClW112WqH1P3ycIwKpUs=,Maintenance Station Train Maintenance Maintenance Departing Station,Success,13.87,0.27,53.94,99.73,Secure
834,Departing Delays Train Station,Departing Delays Train Station,0,Departing Delays Train Station,HybridRSA-Blowfish,gAAAAABnlGiL6_xiHydoHGzn9WpaYyaw2a9O9zJAEcR14RyKmIkXZ9vVzksFbh4Cj6RD86PWyYAilyHzdng3QBi3gsrhyOJ7ajwrGcmWikxGSWHp8QNxT50=,Departing Delays Train Station,Success,12.17,0.1,50.66,99.9,Secure
835,On-Time Arriving Arriving Arriving Arriving Train Train,On-Time Arriving Arriving Arriving Arriving Train Train,0,On-Time Arriving Arriving Arriving Arriving Train Train,Blowfish,gAAAAABnlGiLZXY3sCVo4WvMdbLoqpBGskFQqLsOOG6KYsUtbAk30CFcSqtVvL96kYeW3nppEQHrWw0AXwG-ayUifCCWiELXR851meRG6L6mYLi4vAsoP17yjpWD6uZuurJEI4hW6IwvtuVUBgo9qTvuMn_FSvcmOw==,On-Time Arriving Arriving Arriving Arriving Train Train,Failure,13.65,1.55,57.72,98.45,Not Secure
836,Departing Station Departing Arriving On-Time Delays,Departing Station Departing Arriving On-Time Delays,0,Departing Station Departing Arriving On-Time Delays,HybridRSA-Blowfish,gAAAAABnlGiLSUrtzP2tkHvImWdZ1j6R-mZbTYpXMarYPEECO1M1HZl3O0bgod-YtHwxEWRHrjP1u3F9Gd65kBeEKaCT66VJXbF2GQUIrZ_2RHBTzj2FtxLUlmAaFBBYykfaHHoGlpZJbYjFYS75jeTuUKIXvAtDeA==,Departing Station Departing Arriving On-Time Delays,Failure,6.93,0.7,51.92,99.3,Not Secure
837,Departing Delays On-Time Train,Departing Delays On-Time Train,0,Departing Delays On-Time Train,HybridRSA-Blowfish,gAAAAABnlGiLG99Q4c1N4PofhuJleTmkvqr5uf5OFAAaTR-Fn5VLrd5fMue6jdiPnXH4WVOE8hWx14qPo_SVPl26a7WnP9nRwMO4cWoEZFEjiVlDfhrzdJo=,Departing Delays On-Time Train,Success,12.61,0.54,55.81,99.46,Secure
838,Delays Station Station Delays Station Delays,Delays Station Station Derays Station Delays,1,Delays Station Station Delays Station Delays,Blowfish,gAAAAABnlGiLzJ-nWGXvf1v5INfvAfBKftVy79t9y9uGAIUh-KCDWt1fd-0On3uaGT0wKZ87Qz0Ys74b4bHaFgIKi9vv0uxWe236vYro4ULFzJ0iI7w86pMOFd0XW8dUjGAO0udgfnqK,Delays Station Station Delays Station Delays,Success,12.21,1.8,57.97,98.2,Secure
839,Arriving Arriving Arriving Departing Arriving Delays Station,Arriving Arriving Arriving Departing Arriving Delays Station,0,Arriving Arriving Arriving Departing Arriving Delays Station,RSA,gAAAAABnlGiLy9JkNEiRxhbqq4OAN3xdVtwKiG-OX46F8zJULwy1YUpJ1UnwgeQovig0NlxGuPKbaBY3KWGvezEr3CEtHeICeU_K0_9cCCiaT-kKS0NMG0LnmBo4Q71CtBGgkRXlSR5jt_39_urxpQCVhVmYzUeWvg==,Arriving Arriving Arriving Departing Arriving Delays Station,Success,5.94,0.6,51.24,99.4,Secure
840,Arriving Train Train Departing,Arriving Train Train Departing,0,Arriving Train Train Departing,Blowfish,gAAAAABnlGiL47d1fqZv0wNgkDrxx8QymD-fnAYdVoZw_11au8SqshK-agvoeqXr2Mi-RrMDaSOw8OOhvYP1faK3HD0yRnVdLNBNY9zom5EU4zfyELgx8xM=,Arriving Train Train Departing,Success,6.17,1.98,58.81,98.02,Secure
841,Station Station Delays Train Train Maintenance Arriving,Station Station Delays Train Train Maintenance Arriving,0,Station Station Delays Train Train Maintenance Arriving,HybridRSA-Blowfish,gAAAAABnlGiLeJgm8fIlTYhZwo-ozweCh7njHrci-KAT_ciJJnemGLcYg9ob71H8SuQ5dgX_8tF6vVTT1MdJlW_NVR2-W0ok-vRZQrmJmqGjDLcizKARYXPfJCL_ygJG9eSRtYJzGYm0QcwlTYIil4KAwJKx_Mh6Kw==,Station Station Delays Train Train Maintenance Arriving,Failure,9.22,1.45,57.51,98.55,Not Secure
842,Train Delays Delays Departing,Train Delays Delays Departing,0,Train Delays Delays Departing,RSA,gAAAAABnlGiLBNs3w577tmAQlhzxs5sL2oF97lt9TFoTGjv2lsRGUItP5bxvYi6WAWJwzemfCk4ME-gvOjSEL6U5VROgZQjzWLTlIYgmQqblbqTvQxvstFc=,Train Delays Delays Departing,Success,8.94,0.99,51.04,99.01,Secure
843,Departing Delays Station Departing On-Time,Departing Dnlays Station Departing On-Time,1,Departing Delays Station Departing On-Time,RSA,gAAAAABnlGiLsSTOFdRb5XLXD3YgIW-r77ItlicbrOK0IGGSfGt7LTaUkHQkKiAWIzq_Yko5NA6pZ52d0oq6hpGQ9VFF8F5dmn8JuP-i0ULv4nG26lrwdEqGmpXmPmW1Zt66aHN3F64Y,Departing Delays Station Departing On-Time,Failure,10.13,0.5,56.85,99.5,Not Secure
844,Arriving Departing Maintenance Delays Arriving,Arriving Departing Maintenance Delays Arriving,0,Arriving Departing Maintenance Delays Arriving,HybridRSA-Blowfish,gAAAAABnlGiLkTMtUEgCmu71EuyqGmF3sWU4h96AvKc1HaACmTqdXDCJZ1-SXnOsZglyY410utlsD7nrBc178r2jQM3su6CaJ5kuowsyrBJwssuiv6DBANZewXdbw48Vv_6qwOO4HY3k,Arriving Departing Maintenance Delays Arriving,Success,8.82,0.3,57.07,99.7,Secure
845,Maintenance Train Arriving Delays,Maintenance Train Arriving Delays,0,Maintenance Train Arriving Delays,RSA,gAAAAABnlGiLMi8XUb2qYNNNnJIiSbXlb54GgIYEjWooj4ex3G1far2zHSSaMzJxgrHxLwyQF5h3jeMqB4Fggqfbh7O01o2nb0l9ko-8HtAuLvserfNkJ679PCZwWxk771mh9-yXreU7,Maintenance Train Arriving Delays,Failure,9.26,1.02,56.95,98.98,Not Secure
846,Delays Departing Train On-Time,Delays Departing Train On-Time,0,Delays Departing Train On-Time,RSA,gAAAAABnlGiLl6oSHwB5hJ7GoHb9jwmugGtf-KyaZ_8Ys5DXcQvC-INxp7aV6PigZSTj-oUZxLHgb727CVOGrhA1Ai12iEd3ZkrOymO3Aub73jPEvTMjcXQ=,Delays Departing Train On-Time,Success,7.77,0.35,55.43,99.65,Secure
847,Train Train On-Time Maintenance Station Maintenance,Train Train On-Time Maintenance Station Maintenance,0,Train Train On-Time Maintenance Station Maintenance,Blowfish,gAAAAABnlGiLMQ5Iwb7AOr1nsBjr_X9fqKRadCEt6vSUYoGeZ3X39UpJDb0umXgKvTBnkR6Mz4GOsZtfioKsbTmIeXOnx72UgBm0E9-cfcRg98SM9L2fwVp55B3gqtZY1fZNhoJcv-w5PYAfZ3qZQM5ce4td6UPKqg==,Train Train On-Time Maintenance Station Maintenance,Success,5.76,1.4,59.29,98.6,Secure
848,Train Station Train Station Arriving Delays Maintenance,Train Station Train Station Arriving Delays Maintenance,0,Train Station Train Station Arriving Delays Maintenance,Blowfish,gAAAAABnlGiLrz1atqChEahcrJr89HvYXlCUoP6yLrRMy7UTWwcFeWWfb8VJpry7DFod7wS86trJukuyj4LrtdSwbc4AxrjgiOxuXp3-4D8yzTRbJMPpeK5TH2yPz3409MUgdNeSTtvFTJZOAcKvIRCnlo_iM2ObJw==,Train Station Train Station Arriving Delays Maintenance,Success,13.92,0.31,59.34,99.69,Secure
849,On-Time Departing Arriving Train Arriving Station On-Time,On-Time Departing Arriving Train ArrNving Station On-Time,1,On-Time Departing Arriving Train Arriving Station On-Time,HybridRSA-Blowfish,gAAAAABnlGiLh2hU2cI-1cIf3vfAaFRPW93ZS6DXprOhXmeIxSfNMsHGzihdmKa3WWx7aC9FfWQ5pjJ3peXkq71NYVigDn-o1wfDwii3B8w4dvAo5Xbs2hpr3Z9lI-Y0RPQEtb6entzdPLua1mwiqwSpNCGSS4IUZg==,On-Time Departing Arriving Train Arriving Station On-Time,Success,11.78,0.75,53.35,99.25,Secure
850,Arriving Maintenance Maintenance Arriving,Arriving Maintejance Maintenance Arriving,1,Arriving Maintenance Maintenance Arriving,Blowfish,gAAAAABnlGiLhw3lsCE1eIGWkll6XLX-s2KwtF6havchtbgachjKTfX2W3jtvDEbian8HDAuAo_rMUhkExr8Dc3igrAZIaGeClegbBY9cijFN_v4jfTltjlGPZeQT7AyK35TjksVsIdb,Arriving Maintenance Maintenance Arriving,Success,10.15,0.52,50.88,99.48,Secure
851,On-Time Maintenance On-Time Arriving,On-Time Maintenance On-Time Arriving,0,On-Time Maintenance On-Time Arriving,HybridRSA-Blowfish,gAAAAABnlGiLHfRj1rsh5zwe4LSO7R0lbk2LPdfJze3SduNEx8NkKrTuvL2qOn3NQPbznEhew7P_vpjsmv2RAzc90wDLvIOWsjyLPWYAVYf1X8uHakjBEqA8yC-vFXGw9vZl9UWu6R7i,On-Time Maintenance On-Time Arriving,Failure,6.66,1.9,52.51,98.1,Not Secure
852,On-Time Maintenance Arriving Departing Train Station On-Time,On-Time Maintenance Arriving Departing Train Station On-Time,0,On-Time Maintenance Arriving Departing Train Station On-Time,RSA,gAAAAABnlGiLmoZsLWIgzE6Rfufjy0J-TzErbN840cUsT8f4MegreQ0Ny_p65zgrKv7QYUiu8p0lYpnU0NlyQV_QbKvFc33md0B-vzBaOGJgIFuRHR-X7HvIuwO_yus__DRyuEuLxakblsH6-RFhgFGa-_p59yvgSw==,On-Time Maintenance Arriving Departing Train Station On-Time,Failure,8.38,1.17,55.16,98.83,Not Secure
853,Departing Delays Train Station Arriving,Departing Delays Train Station Arriving,0,Departing Delays Train Station Arriving,HybridRSA-Blowfish,gAAAAABnlGiLPQ_WtBqVulT1zFzQqFCeHfTVQzUnQz1u419vRtDgd_LWJeDNr_PAEPxZmUk17icM-1Fj3CdDb2M7oiies-LSYRuQHz40JRBF-a3h_fn3CqDGhG-BhSm5sFRWIV8KYpZr,Departing Delays Train Station Arriving,Success,8.96,1.65,58.74,98.35,Secure
854,Arriving Delays Arriving Maintenance On-Time Station Maintenance,Arriving DNlays Arriving Maintenance On-Time Station Maintenance,1,Arriving Delays Arriving Maintenance On-Time Station Maintenance,HybridRSA-Blowfish,gAAAAABnlGiLWxyqlmy5femcDoBOwktIieO2qGKgp4WSAL4u-gJNjM_vRNBeaFDR7qs_r3XjmPuArTUZZe0xmdlxbqIGJyX72UUJuQeYnbdffBu4-8XPn7aeNX2yrVUQ7uj42EF9bD8k76Mg6gFVBZ08sirDdmKLcS6xMotb7zzbqUfXN59pRRE=,Arriving Delays Arriving Maintenance On-Time Station Maintenance,Success,6.49,1.51,58.03,98.49,Secure
855,Arriving Departing Delays Delays Maintenance Delays,arriving Departing Delays Delays Maintenance Delays,1,Arriving Departing Delays Delays Maintenance Delays,RSA,gAAAAABnlGiLah0YPPto2U380DdkDubzM8gNGgN3X6L7IqtUqK9RYvyrKWkIqskEN2CDfWOmzXXRwSzGn1Or16Jx2fqANM7mBuHu_HI7PSUYNK7VCuroVFKXFqxVgqXcHhk5k-OZ8XxuR1dGP7IbCe5ss311NMtU4Q==,Arriving Departing Delays Delays Maintenance Delays,Failure,13.38,0.33,50.7,99.67,Not Secure
