Message_ID,Error_Correction_Applied,Transmission_Time (ms),Error_Rate (%),Throughput (Mbps),Data_Integrity (%),processed_Original_Message,processed_Transmitted_Message,processed_Corrected_Message,processed_Encryption_Type,processed_Encrypted_Message,processed_Decrypted_Message,processed_Authentication_Status,Target
1414,1,14.4,0.96,52.45,99.04,departing train train delay,departing train train dilays,departing train train delay,,,departing train train delay,failure,Not Secure
1415,0,8.63,0.77,50.47,99.23,maintenance arriving delay maintenance maintenance,maintenance arriving delay maintenance maintenance,maintenance arriving delay maintenance maintenance,blowfish,,maintenance arriving delay maintenance maintenance,failure,Not Secure
1416,0,11.66,0.39,58.61,99.61,departing arriving arriving,departing arriving arriving,departing arriving arriving,,,departing arriving arriving,success,Secure
1417,0,12.59,1.48,59.63,98.52,departing train train departing arriving arriving,departing train train departing arriving arriving,departing train train departing arriving arriving,blowfish,,departing train train departing arriving arriving,failure,Not Secure
1418,0,9.28,1.79,55.44,98.21,departing station delay station station,departing station delay station station,departing station delay station station,blowfish,,departing station delay station station,failure,Not Secure
1419,1,12.78,1.95,52.76,98.05,train train,trhin train,train train,blowfish,,train train,success,Secure
1420,0,14.0,0.03,59.19,99.97,delay arriving delay arriving,delay arriving delay arriving,delay arriving delay arriving,blowfish,,delay arriving delay arriving,failure,Not Secure
1421,0,10.83,0.18,52.84,99.82,station delay delay train arriving arriving,station delay delay train arriving arriving,station delay delay train arriving arriving,rsa,,station delay delay train arriving arriving,failure,Not Secure
1422,0,10.34,1.91,57.65,98.09,train maintenance delay train,train maintenance delay train,train maintenance delay train,rsa,,train maintenance delay train,success,Secure
1423,0,7.13,1.19,59.54,98.81,departing arriving maintenance station train departing departing,departing arriving maintenance station train departing departing,departing arriving maintenance station train departing departing,rsa,,departing arriving maintenance station train departing departing,success,Secure
1424,0,10.08,1.22,59.87,98.78,arriving station maintenance departing,arriving station maintenance departing,arriving station maintenance departing,rsa,,arriving station maintenance departing,success,Secure
1425,0,10.46,1.85,54.62,98.15,train delay delay,train delay delay,train delay delay,blowfish,,train delay delay,failure,Not Secure
1426,0,9.4,0.89,54.37,99.11,station arriving delay departing,station arriving delay departing,station arriving delay departing,,,station arriving delay departing,failure,Not Secure
1427,0,9.85,0.08,57.78,99.92,station departing departing departing,station departing departing departing,station departing departing departing,rsa,,station departing departing departing,success,Secure
1428,0,10.38,1.87,54.1,98.13,departing delay arriving departing station train,departing delay arriving departing station train,departing delay arriving departing station train,rsa,,departing delay arriving departing station train,success,Secure
1429,0,6.33,0.65,54.53,99.35,train station train delay station departing,train station train delay station departing,train station train delay station departing,,,train station train delay station departing,success,Secure
1430,0,9.26,0.16,53.67,99.84,maintenance maintenance delay,maintenance maintenance delay,maintenance maintenance delay,,,maintenance maintenance delay,success,Secure
1431,0,7.8,1.31,58.05,98.69,station station departing train,station station departing train,station station departing train,blowfish,,station station departing train,success,Secure
1432,0,8.17,0.36,55.98,99.64,station maintenance station,station maintenance station,station maintenance station,blowfish,,station maintenance station,failure,Not Secure
1433,0,11.24,1.47,53.97,98.53,maintenance train train delay,maintenance train train delay,maintenance train train delay,rsa,,maintenance train train delay,success,Secure
1434,0,7.92,1.24,54.47,98.76,departing departing delay arriving,departing departing delay arriving,departing departing delay arriving,rsa,,departing departing delay arriving,failure,Not Secure
1435,0,5.86,0.07,51.12,99.93,delay maintenance station maintenance train,delay maintenance station maintenance train,delay maintenance station maintenance train,,,delay maintenance station maintenance train,failure,Not Secure
1436,0,13.47,1.19,53.42,98.81,delay station delay train train,delay station delay train train,delay station delay train train,,,delay station delay train train,failure,Not Secure
1437,0,9.14,0.72,59.31,99.28,maintenance station departing maintenance arriving,maintenance station departing maintenance arriving,maintenance station departing maintenance arriving,blowfish,,maintenance station departing maintenance arriving,failure,Not Secure
1438,0,6.86,0.08,55.7,99.92,train train arriving,train train arriving,train train arriving,,,train train arriving,success,Secure
1439,0,14.9,0.19,51.0,99.81,station train maintenance delay departing,station train maintenance delay departing,station train maintenance delay departing,,,station train maintenance delay departing,success,Secure
1440,0,12.08,0.72,59.81,99.28,station maintenance maintenance station station,station maintenance maintenance station station,station maintenance maintenance station station,rsa,,station maintenance maintenance station station,failure,Not Secure
1441,0,14.85,0.77,53.34,99.23,train train arriving departing train arriving,train train arriving departing train arriving,train train arriving departing train arriving,blowfish,,train train arriving departing train arriving,success,Secure
1442,0,5.03,0.54,53.89,99.46,departing arriving maintenance arriving,departing arriving maintenance arriving,departing arriving maintenance arriving,rsa,,departing arriving maintenance arriving,success,Secure
1443,1,10.15,1.39,54.96,98.61,maintenance departing delay train departing,jaintenance departing delay train departing,maintenance departing delay train departing,,,maintenance departing delay train departing,success,Secure
1444,0,5.46,0.25,51.01,99.75,maintenance station delay maintenance arriving,maintenance station delay maintenance arriving,maintenance station delay maintenance arriving,,,maintenance station delay maintenance arriving,success,Secure
1445,0,7.74,1.26,52.67,98.74,departing station arriving arriving delay departing,departing station arriving arriving delay departing,departing station arriving arriving delay departing,blowfish,,departing station arriving arriving delay departing,success,Secure
1446,0,11.23,0.1,52.59,99.9,arriving departing departing train station station,arriving departing departing train station station,arriving departing departing train station station,rsa,,arriving departing departing train station station,success,Secure
1447,0,12.0,0.19,50.37,99.81,departing arriving delay delay departing station,departing arriving delay delay departing station,departing arriving delay delay departing station,rsa,,departing arriving delay delay departing station,success,Secure
1448,1,9.84,1.51,54.61,98.49,station station delay station maintenance,statioq station delay station maintenance,station station delay station maintenance,,,station station delay station maintenance,failure,Not Secure
1449,0,14.04,1.29,56.19,98.71,departing maintenance delay delay,departing maintenance delay delay,departing maintenance delay delay,,,departing maintenance delay delay,success,Secure
1450,0,14.23,0.06,53.84,99.94,maintenance arriving train station station departing,maintenance arriving train station station departing,maintenance arriving train station station departing,rsa,,maintenance arriving train station station departing,failure,Not Secure
1451,1,9.22,1.47,53.53,98.53,departing maintenance maintenance delay maintenance departing,departing maintenance eaintenance delay maintenance departing,departing maintenance maintenance delay maintenance departing,rsa,,departing maintenance maintenance delay maintenance departing,success,Secure
1452,1,10.96,0.64,54.56,99.36,train arriving departing departing,train arrwving departing departing,train arriving departing departing,,,train arriving departing departing,success,Secure
1453,0,6.34,0.44,56.42,99.56,delay maintenance maintenance departing train delay,delay maintenance maintenance departing train delay,delay maintenance maintenance departing train delay,,,delay maintenance maintenance departing train delay,success,Secure
1454,0,7.15,1.58,57.25,98.42,departing departing station train,departing departing station train,departing departing station train,,,departing departing station train,failure,Not Secure
1455,0,8.43,0.63,51.09,99.37,train station departing,train station departing,train station departing,,,train station departing,success,Secure
1456,0,12.08,0.73,56.08,99.27,maintenance station arriving maintenance,maintenance station arriving maintenance,maintenance station arriving maintenance,blowfish,,maintenance station arriving maintenance,failure,Not Secure
1457,0,11.93,0.39,51.56,99.61,delay train delay maintenance,delay train delay maintenance,delay train delay maintenance,rsa,,delay train delay maintenance,success,Secure
1458,0,7.47,0.73,58.23,99.27,train station,train station,train station,rsa,,train station,failure,Not Secure
1459,0,5.79,0.89,54.41,99.11,arriving departing delay delay arriving station,arriving departing delay delay arriving station,arriving departing delay delay arriving station,rsa,,arriving departing delay delay arriving station,failure,Not Secure
1460,0,5.94,0.87,59.76,99.13,maintenance maintenance delay station,maintenance maintenance delay station,maintenance maintenance delay station,blowfish,,maintenance maintenance delay station,success,Secure
1461,0,5.76,0.73,54.2,99.27,maintenance station arriving departing maintenance,maintenance station arriving departing maintenance,maintenance station arriving departing maintenance,rsa,,maintenance station arriving departing maintenance,failure,Not Secure
1462,1,14.42,1.02,54.37,98.98,arriving arriving station maintenance,arriving arriving statiom maintenance,arriving arriving station maintenance,blowfish,,arriving arriving station maintenance,success,Secure
1463,1,14.69,0.22,53.85,99.78,maintenance arriving train station,maintenance arriving trainbstation,maintenance arriving train station,blowfish,,maintenance arriving train station,failure,Not Secure
1464,0,11.5,0.23,50.37,99.77,maintenance train train arriving station,maintenance train train arriving station,maintenance train train arriving station,blowfish,,maintenance train train arriving station,success,Secure
1465,0,14.16,1.39,56.09,98.61,train train station train departing,train train station train departing,train train station train departing,rsa,,train train station train departing,success,Secure
1466,1,12.64,0.88,59.85,99.12,maintenance arriving arriving delay train,maintenance arriving arriving delay train,maintenance arriving arriving delay train,blowfish,,maintenance arriving arriving delay train,success,Secure
1467,1,7.57,1.39,59.74,98.61,station arriving delay station,station arriving dolays station,station arriving delay station,,,station arriving delay station,failure,Not Secure
1468,0,7.14,0.87,59.03,99.13,maintenance maintenance arriving arriving delay,maintenance maintenance arriving arriving delay,maintenance maintenance arriving arriving delay,,,maintenance maintenance arriving arriving delay,success,Secure
1469,1,6.05,0.46,52.44,99.54,arriving,arriving,arriving,rsa,,arriving,success,Secure
1470,0,13.56,0.1,56.87,99.9,train delay delay arriving maintenance train,train delay delay arriving maintenance train,train delay delay arriving maintenance train,rsa,,train delay delay arriving maintenance train,success,Secure
1471,0,14.11,0.09,54.45,99.91,arriving train departing arriving arriving,arriving train departing arriving arriving,arriving train departing arriving arriving,,,arriving train departing arriving arriving,failure,Not Secure
1472,1,12.93,1.02,54.17,98.98,train station train station,train station train station,train station train station,blowfish,,train station train station,failure,Not Secure
1473,1,9.15,1.87,56.42,98.13,train arriving station,train station,train arriving station,,,train arriving station,failure,Not Secure
1474,1,9.99,1.39,52.17,98.61,station station station,station station syation,station station station,rsa,,station station station,failure,Not Secure
1475,0,14.24,1.06,52.47,98.94,train station maintenance delay train,train station maintenance delay train,train station maintenance delay train,,,train station maintenance delay train,success,Secure
1476,0,13.88,0.54,57.25,99.46,arriving departing train train arriving,arriving departing train train arriving,arriving departing train train arriving,blowfish,,arriving departing train train arriving,failure,Not Secure
1477,1,6.79,1.2,56.79,98.8,departing arriving station departing arriving delay,departpng arriving station departing arriving delay,departing arriving station departing arriving delay,rsa,,departing arriving station departing arriving delay,success,Secure
1478,0,11.15,0.42,55.8,99.58,departing arriving train delay delay,departing arriving train delay delay,departing arriving train delay delay,blowfish,,departing arriving train delay delay,failure,Not Secure
1479,1,5.1,0.25,58.06,99.75,train train arriving,train train arriving,train train arriving,,,train train arriving,failure,Not Secure
1480,1,12.29,1.41,58.5,98.59,arriving maintenance train,arriving maintenance train onxtime,arriving maintenance train,blowfish,,arriving maintenance train,failure,Not Secure
1481,0,6.25,0.86,51.89,99.14,departing station delay departing,departing station delay departing,departing station delay departing,blowfish,,departing station delay departing,failure,Not Secure
1482,1,14.64,1.6,53.58,98.4,delay departing delay station,delay departino delay station,delay departing delay station,rsa,,delay departing delay station,success,Secure
1483,0,8.1,1.34,54.48,98.66,maintenance station delay station,maintenance station delay station,maintenance station delay station,blowfish,,maintenance station delay station,failure,Not Secure
1484,0,14.99,1.72,58.25,98.28,delay maintenance departing station station departing train,delay maintenance departing station station departing train,delay maintenance departing station station departing train,,,delay maintenance departing station station departing train,failure,Not Secure
1485,1,7.71,0.24,56.16,99.76,arriving station departing station,arriving station departing statcon,arriving station departing station,rsa,,arriving station departing station,success,Secure
1486,0,6.22,0.27,50.16,99.73,train delay train arriving delay,train delay train arriving delay,train delay train arriving delay,,,train delay train arriving delay,success,Secure
1487,0,12.69,1.29,57.83,98.71,station departing arriving station,station departing arriving station,station departing arriving station,rsa,,station departing arriving station,success,Secure
1488,0,10.47,0.04,59.19,99.96,arriving station station delay train maintenance departing,arriving station station delay train maintenance departing,arriving station station delay train maintenance departing,,,arriving station station delay train maintenance departing,failure,Not Secure
1489,0,5.39,1.36,53.06,98.64,train delay station delay,train delay station delay,train delay station delay,blowfish,,train delay station delay,success,Secure
1490,0,5.95,1.4,50.19,98.6,maintenance arriving arriving departing arriving,maintenance arriving arriving departing arriving,maintenance arriving arriving departing arriving,,,maintenance arriving arriving departing arriving,failure,Not Secure
1491,0,11.92,0.37,56.18,99.63,maintenance arriving station arriving station,maintenance arriving station arriving station,maintenance arriving station arriving station,rsa,,maintenance arriving station arriving station,failure,Not Secure
1492,0,12.1,0.48,58.51,99.52,arriving train train,arriving train train,arriving train train,rsa,,arriving train train,success,Secure
1493,0,11.8,1.87,56.05,98.13,delay maintenance,delay maintenance,delay maintenance,blowfish,,delay maintenance,failure,Not Secure
1494,1,7.29,1.21,55.78,98.79,arriving maintenance arriving station delay delay maintenance,arriving maintenance arriving station delay delay maintenancr,arriving maintenance arriving station delay delay maintenance,rsa,,arriving maintenance arriving station delay delay maintenance,failure,Not Secure
1495,1,8.01,0.33,57.22,99.67,maintenance arriving maintenance arriving station station,mainnenance arriving maintenance arriving station station,maintenance arriving maintenance arriving station station,rsa,,maintenance arriving maintenance arriving station station,success,Secure
1496,0,13.07,1.4,51.05,98.6,departing station train maintenance train,departing station train maintenance train,departing station train maintenance train,,,departing station train maintenance train,failure,Not Secure
1497,1,6.95,1.07,59.48,98.93,delay arriving departing arriving,delay arriving departing arrivong,delay arriving departing arriving,,,delay arriving departing arriving,success,Secure
1498,0,8.43,1.99,56.51,98.01,train maintenance departing maintenance station arriving,train maintenance departing maintenance station arriving,train maintenance departing maintenance station arriving,,,train maintenance departing maintenance station arriving,failure,Not Secure
1499,0,12.42,1.4,59.18,98.6,train maintenance departing arriving station,train maintenance departing arriving station,train maintenance departing arriving station,blowfish,,train maintenance departing arriving station,failure,Not Secure
1500,0,10.02,0.46,59.43,99.54,train arriving delay maintenance station delay,train arriving delay maintenance station delay,train arriving delay maintenance station delay,,,train arriving delay maintenance station delay,failure,Not Secure
1501,0,9.22,1.54,57.39,98.46,delay departing arriving delay departing,delay departing arriving delay departing,delay departing arriving delay departing,blowfish,,delay departing arriving delay departing,failure,Not Secure
1502,0,11.48,1.81,51.06,98.19,maintenance station train arriving delay departing,maintenance station train arriving delay departing,maintenance station train arriving delay departing,,,maintenance station train arriving delay departing,success,Secure
1503,0,9.2,1.65,55.2,98.35,train station arriving,train station arriving,train station arriving,,,train station arriving,success,Secure
1504,0,13.39,0.54,54.16,99.46,departing departing station arriving delay delay,departing departing station arriving delay delay,departing departing station arriving delay delay,blowfish,,departing departing station arriving delay delay,failure,Not Secure
1505,0,5.62,1.03,58.54,98.97,arriving departing station station delay,arriving departing station station delay,arriving departing station station delay,rsa,,arriving departing station station delay,success,Secure
1506,0,11.43,0.28,56.91,99.72,station arriving train maintenance,station arriving train maintenance,station arriving train maintenance,blowfish,,station arriving train maintenance,failure,Not Secure
1507,0,11.67,0.25,59.52,99.75,arriving maintenance station arriving delay,arriving maintenance station arriving delay,arriving maintenance station arriving delay,,,arriving maintenance station arriving delay,success,Secure
1508,0,7.88,0.44,54.69,99.56,train delay delay departing train delay,train delay delay departing train delay,train delay delay departing train delay,,,train delay delay departing train delay,failure,Not Secure
1509,1,7.89,0.68,56.62,99.32,delay station departing station,delay station departitg station,delay station departing station,blowfish,,delay station departing station,failure,Not Secure
1510,0,14.02,0.81,56.41,99.19,arriving station departing arriving arriving arriving,arriving station departing arriving arriving arriving,arriving station departing arriving arriving arriving,,,arriving station departing arriving arriving arriving,success,Secure
1511,0,8.97,0.94,53.74,99.06,arriving maintenance arriving,arriving maintenance arriving,arriving maintenance arriving,rsa,,arriving maintenance arriving,success,Secure
1512,0,8.7,1.63,59.91,98.37,train departing arriving train arriving delay departing,train departing arriving train arriving delay departing,train departing arriving train arriving delay departing,rsa,,train departing arriving train arriving delay departing,success,Secure
1513,0,8.91,0.84,53.94,99.16,maintenance station maintenance train,maintenance station maintenance train,maintenance station maintenance train,rsa,,maintenance station maintenance train,success,Secure
1514,0,10.98,1.65,54.86,98.35,station departing departing maintenance maintenance,station departing departing maintenance maintenance,station departing departing maintenance maintenance,rsa,,station departing departing maintenance maintenance,failure,Not Secure
1515,0,14.67,1.17,53.92,98.83,train delay arriving,train delay arriving,train delay arriving,,,train delay arriving,failure,Not Secure
1516,0,14.16,0.2,58.47,99.8,departing train train arriving departing delay delay,departing train train arriving departing delay delay,departing train train arriving departing delay delay,,,departing train train arriving departing delay delay,success,Secure
1517,0,10.4,0.25,54.44,99.75,departing station train delay departing departing,departing station train delay departing departing,departing station train delay departing departing,blowfish,,departing station train delay departing departing,failure,Not Secure
1518,0,10.66,1.85,57.71,98.15,delay delay station train train,delay delay station train train,delay delay station train train,,,delay delay station train train,failure,Not Secure
1519,1,7.26,1.0,58.75,99.0,departing arriving station station,departiqg arriving station station,departing arriving station station,,,departing arriving station station,success,Secure
1520,0,11.33,0.2,54.78,99.8,maintenance station train arriving,maintenance station train arriving,maintenance station train arriving,,,maintenance station train arriving,success,Secure
1521,0,6.43,1.94,51.35,98.06,maintenance maintenance departing train,maintenance maintenance departing train,maintenance maintenance departing train,blowfish,,maintenance maintenance departing train,success,Secure
1522,0,13.99,1.67,53.84,98.33,maintenance departing maintenance,maintenance departing maintenance,maintenance departing maintenance,blowfish,,maintenance departing maintenance,success,Secure
1523,0,10.6,1.5,52.59,98.5,station delay departing maintenance train,station delay departing maintenance train,station delay departing maintenance train,blowfish,,station delay departing maintenance train,failure,Not Secure
1524,0,5.7,0.21,53.15,99.79,maintenance departing train arriving,maintenance departing train arriving,maintenance departing train arriving,blowfish,,maintenance departing train arriving,success,Secure
1525,1,9.94,1.49,59.86,98.51,delay station station,delay station station,delay station station,rsa,,delay station station,failure,Not Secure
1526,0,14.79,1.5,54.91,98.5,arriving train train arriving,arriving train train arriving,arriving train train arriving,rsa,,arriving train train arriving,failure,Not Secure
1527,0,5.46,1.52,59.3,98.48,departing station station arriving delay departing,departing station station arriving delay departing,departing station station arriving delay departing,,,departing station station arriving delay departing,success,Secure
1528,0,13.93,1.19,53.59,98.81,station delay delay departing delay arriving,station delay delay departing delay arriving,station delay delay departing delay arriving,,,station delay delay departing delay arriving,failure,Not Secure
1529,0,11.3,1.97,50.24,98.03,station departing departing arriving train arriving,station departing departing arriving train arriving,station departing departing arriving train arriving,,,station departing departing arriving train arriving,failure,Not Secure
1530,1,8.56,0.96,53.36,99.04,arriving delay arriving station departing station,arriving delay arriving station departing ktation,arriving delay arriving station departing station,blowfish,,arriving delay arriving station departing station,success,Secure
1531,1,10.32,0.65,52.5,99.35,station departing arriving departing station arriving,station arriving departing station arriving,station departing arriving departing station arriving,,,station departing arriving departing station arriving,failure,Not Secure
1532,1,12.46,2.0,54.36,98.0,maintenance arriving station arriving maintenance,maintenance arriving station arriving maintenance,maintenance arriving station arriving maintenance,,,maintenance arriving station arriving maintenance,success,Secure
1533,0,5.29,0.29,59.82,99.71,train maintenance station,train maintenance station,train maintenance station,,,train maintenance station,success,Secure
1534,0,9.93,0.67,54.95,99.33,delay maintenance delay delay station,delay maintenance delay delay station,delay maintenance delay delay station,rsa,,delay maintenance delay delay station,failure,Not Secure
1535,1,9.56,0.72,50.74,99.28,departing arriving station,departing arriving station,departing arriving station,blowfish,,departing arriving station,failure,Not Secure
1536,0,7.59,0.9,52.52,99.1,station delay train departing delay,station delay train departing delay,station delay train departing delay,blowfish,,station delay train departing delay,success,Secure
1537,0,10.57,1.64,52.78,98.36,maintenance delay delay arriving,maintenance delay delay arriving,maintenance delay delay arriving,,,maintenance delay delay arriving,failure,Not Secure
1538,0,14.51,0.44,56.91,99.56,delay train departing,delay train departing,delay train departing,rsa,,delay train departing,failure,Not Secure
1539,0,13.65,0.22,53.19,99.78,maintenance train maintenance station,maintenance train maintenance station,maintenance train maintenance station,rsa,,maintenance train maintenance station,failure,Not Secure
1540,0,14.2,1.28,52.08,98.72,arriving departing station departing,arriving departing station departing,arriving departing station departing,rsa,,arriving departing station departing,failure,Not Secure
1541,0,13.0,0.68,53.23,99.32,train train train station delay,train train train station delay,train train train station delay,rsa,,train train train station delay,success,Secure
1542,0,8.02,1.52,50.0,98.48,station station delay station,station station delay station,station station delay station,,,station station delay station,success,Secure
1543,0,10.75,0.82,58.38,99.18,departing delay delay train delay arriving,departing delay delay train delay arriving,departing delay delay train delay arriving,blowfish,,departing delay delay train delay arriving,success,Secure
1544,1,14.46,0.9,57.3,99.1,arriving maintenance maintenance arriving maintenance,arriving maintenance maintenance arriving maintenance,arriving maintenance maintenance arriving maintenance,,,arriving maintenance maintenance arriving maintenance,failure,Not Secure
1545,0,11.43,0.13,55.13,99.87,delay arriving train station station arriving,delay arriving train station station arriving,delay arriving train station station arriving,rsa,,delay arriving train station station arriving,failure,Not Secure
1546,0,13.33,1.24,51.66,98.76,station arriving station,station arriving station,station arriving station,,,station arriving station,failure,Not Secure
1547,0,7.35,1.56,58.76,98.44,maintenance station maintenance departing,maintenance station maintenance departing,maintenance station maintenance departing,blowfish,,maintenance station maintenance departing,success,Secure
1548,1,5.46,0.94,59.29,99.06,station train station,station train statdon,station train station,rsa,,station train station,success,Secure
1549,0,6.15,0.42,51.0,99.58,maintenance maintenance station delay station,maintenance maintenance station delay station,maintenance maintenance station delay station,blowfish,,maintenance maintenance station delay station,failure,Not Secure
1550,0,10.97,0.46,50.83,99.54,train maintenance departing train,train maintenance departing train,train maintenance departing train,blowfish,,train maintenance departing train,success,Secure
1551,1,6.91,0.83,57.01,99.17,train train arriving station maintenance arriving,train train arriving station maintenance arriving,train train arriving station maintenance arriving,,,train train arriving station maintenance arriving,success,Secure
1552,1,7.97,1.48,52.9,98.52,departing departing departing train arriving arriving,departing departing departing train arriving arriving,departing departing departing train arriving arriving,,,departing departing departing train arriving arriving,success,Secure
1553,1,14.01,0.86,53.96,99.14,train train maintenance,train train malntenance,train train maintenance,,,train train maintenance,success,Secure
1554,0,6.54,1.07,52.82,98.93,arriving arriving train,arriving arriving train,arriving arriving train,blowfish,,arriving arriving train,failure,Not Secure
1555,0,14.26,0.06,55.78,99.94,arriving departing departing,arriving departing departing,arriving departing departing,blowfish,,arriving departing departing,success,Secure
1556,0,14.33,0.51,50.6,99.49,maintenance train departing,maintenance train departing,maintenance train departing,rsa,,maintenance train departing,failure,Not Secure
1557,1,8.35,0.91,53.77,99.09,arriving,arriving,arriving,rsa,,arriving,failure,Not Secure
1558,0,9.6,2.0,51.09,98.0,delay maintenance arriving arriving train arriving arriving,delay maintenance arriving arriving train arriving arriving,delay maintenance arriving arriving train arriving arriving,blowfish,,delay maintenance arriving arriving train arriving arriving,success,Secure
1559,1,14.32,1.03,55.68,98.97,arriving maintenance station train departing,arriving maintenance station trair departing,arriving maintenance station train departing,rsa,,arriving maintenance station train departing,success,Secure
1560,0,7.03,1.47,58.53,98.53,arriving,arriving,arriving,blowfish,,arriving,failure,Not Secure
1561,1,12.28,0.95,55.88,99.05,station maintenance departing departing maintenance,station maintenance departing departing maijtenance,station maintenance departing departing maintenance,,,station maintenance departing departing maintenance,failure,Not Secure
1562,0,7.26,0.72,52.96,99.28,maintenance departing departing arriving,maintenance departing departing arriving,maintenance departing departing arriving,rsa,,maintenance departing departing arriving,success,Secure
1563,1,7.64,1.34,53.95,98.66,delay delay station station arriving,dedays delay station station arriving,delay delay station station arriving,,,delay delay station station arriving,failure,Not Secure
1564,0,8.24,1.05,56.8,98.95,station station delay departing,station station delay departing,station station delay departing,rsa,,station station delay departing,failure,Not Secure
1565,1,10.03,0.41,57.41,99.59,arriving station station arriving train departing train,arrivikg station station arriving train departing train,arriving station station arriving train departing train,rsa,,arriving station station arriving train departing train,success,Secure
1566,0,12.7,1.98,55.04,98.02,maintenance station station station train train,maintenance station station station train train,maintenance station station station train train,,,maintenance station station station train train,success,Secure
1567,0,11.49,0.03,55.69,99.97,delay maintenance maintenance,delay maintenance maintenance,delay maintenance maintenance,rsa,,delay maintenance maintenance,success,Secure
1568,0,6.91,1.93,57.27,98.07,departing departing departing maintenance arriving departing,departing departing departing maintenance arriving departing,departing departing departing maintenance arriving departing,rsa,,departing departing departing maintenance arriving departing,failure,Not Secure
1569,0,5.8,0.77,55.94,99.23,train maintenance departing station train station,train maintenance departing station train station,train maintenance departing station train station,,,train maintenance departing station train station,failure,Not Secure
1570,0,7.06,0.6,54.61,99.4,arriving maintenance arriving station maintenance,arriving maintenance arriving station maintenance,arriving maintenance arriving station maintenance,rsa,,arriving maintenance arriving station maintenance,success,Secure
1571,0,7.96,1.16,52.86,98.84,station arriving departing train departing maintenance,station arriving departing train departing maintenance,station arriving departing train departing maintenance,rsa,,station arriving departing train departing maintenance,success,Secure
1572,0,9.57,1.44,56.54,98.56,arriving maintenance station arriving arriving maintenance,arriving maintenance station arriving arriving maintenance,arriving maintenance station arriving arriving maintenance,rsa,,arriving maintenance station arriving arriving maintenance,failure,Not Secure
1573,0,8.7,0.02,55.74,99.98,station train maintenance,station train maintenance,station train maintenance,blowfish,,station train maintenance,success,Secure
1574,0,14.52,1.17,52.61,98.83,arriving delay delay arriving,arriving delay delay arriving,arriving delay delay arriving,,,arriving delay delay arriving,success,Secure
1575,0,12.68,1.57,54.57,98.43,arriving departing arriving station,arriving departing arriving station,arriving departing arriving station,,,arriving departing arriving station,success,Secure
1576,0,6.71,0.04,59.69,99.96,arriving arriving train train,arriving arriving train train,arriving arriving train train,,,arriving arriving train train,failure,Not Secure
1577,1,10.03,1.48,55.19,98.52,delay maintenance station delay train departing delay,delay maintenance staaion delay train departing delay,delay maintenance station delay train departing delay,rsa,,delay maintenance station delay train departing delay,failure,Not Secure
1578,0,13.59,1.42,58.38,98.58,station station train train departing,station station train train departing,station station train train departing,rsa,,station station train train departing,success,Secure
1579,0,8.86,1.19,50.87,98.81,maintenance arriving train departing delay,maintenance arriving train departing delay,maintenance arriving train departing delay,blowfish,,maintenance arriving train departing delay,failure,Not Secure
1580,0,7.57,0.87,56.6,99.13,arriving departing departing departing,arriving departing departing departing,arriving departing departing departing,,,arriving departing departing departing,success,Secure
1581,0,5.03,1.11,58.7,98.89,station delay delay departing,station delay delay departing,station delay delay departing,rsa,,station delay delay departing,success,Secure
1582,0,9.63,1.7,56.59,98.3,train delay maintenance,train delay maintenance,train delay maintenance,rsa,,train delay maintenance,failure,Not Secure
1583,0,12.91,1.69,58.33,98.31,arriving delay maintenance delay arriving train,arriving delay maintenance delay arriving train,arriving delay maintenance delay arriving train,rsa,,arriving delay maintenance delay arriving train,success,Secure
1584,0,14.64,1.91,58.96,98.09,maintenance delay arriving delay maintenance,maintenance delay arriving delay maintenance,maintenance delay arriving delay maintenance,,,maintenance delay arriving delay maintenance,failure,Not Secure
1585,1,7.79,1.07,52.41,98.93,departing departing delay maintenance,departing departing delaes maintenance,departing departing delay maintenance,,,departing departing delay maintenance,success,Secure
1586,1,9.83,1.35,51.44,98.65,maintenance delay maintenance departing train delay,maintenance delaps maintenance departing train delay,maintenance delay maintenance departing train delay,rsa,,maintenance delay maintenance departing train delay,failure,Not Secure
1587,0,8.44,0.93,56.14,99.07,arriving maintenance departing maintenance,arriving maintenance departing maintenance,arriving maintenance departing maintenance,blowfish,,arriving maintenance departing maintenance,failure,Not Secure
1588,0,7.12,1.08,57.47,98.92,maintenance train maintenance station,maintenance train maintenance station,maintenance train maintenance station,,,maintenance train maintenance station,success,Secure
1589,1,5.9,0.59,54.39,99.41,departing delay departing delay arriving departing,departing delay depacting delay arriving departing,departing delay departing delay arriving departing,,,departing delay departing delay arriving departing,failure,Not Secure
1590,0,5.27,0.44,57.91,99.56,departing departing delay arriving station,departing departing delay arriving station,departing departing delay arriving station,rsa,,departing departing delay arriving station,success,Secure
1591,0,13.95,0.05,58.44,99.95,station departing maintenance,station departing maintenance,station departing maintenance,rsa,,station departing maintenance,failure,Not Secure
1592,0,12.4,1.63,51.6,98.37,station arriving maintenance delay delay,station arriving maintenance delay delay,station arriving maintenance delay delay,,,station arriving maintenance delay delay,failure,Not Secure
1593,0,13.76,0.69,56.96,99.31,delay delay arriving train maintenance,delay delay arriving train maintenance,delay delay arriving train maintenance,blowfish,,delay delay arriving train maintenance,failure,Not Secure
1594,0,12.62,1.03,57.16,98.97,arriving train station delay station arriving maintenance,arriving train station delay station arriving maintenance,arriving train station delay station arriving maintenance,,,arriving train station delay station arriving maintenance,success,Secure
